Категория: Все категории

Месяц,"Kickstarter, Inc.: (По всему миру)"
2004-01,4
2004-02,3
2004-03,5
2004-04,3
2004-05,3
2004-06,4
2004-07,1
2004-08,5
2004-09,4
2004-10,3
2004-11,3
2004-12,4
2005-01,3
2005-02,2
2005-03,4
2005-04,3
2005-05,3
2005-06,3
2005-07,2
2005-08,1
2005-09,2
2005-10,1
2005-11,2
2005-12,3
2006-01,3
2006-02,4
2006-03,2
2006-04,1
2006-05,3
2006-06,2
2006-07,1
2006-08,2
2006-09,2
2006-10,2
2006-11,2
2006-12,2
2007-01,2
2007-02,2
2007-03,2
2007-04,3
2007-05,1
2007-06,3
2007-07,2
2007-08,2
2007-09,2
2007-10,2
2007-11,2
2007-12,1
2008-01,2
2008-02,1
2008-03,2
2008-04,2
2008-05,3
2008-06,2
2008-07,2
2008-08,2
2008-09,3
2008-10,2
2008-11,2
2008-12,1
2009-01,2
2009-02,2
2009-03,2
2009-04,1
2009-05,2
2009-06,2
2009-07,2
2009-08,3
2009-09,3
2009-10,2
2009-11,2
2009-12,3
2010-01,2
2010-02,3
2010-03,3
2010-04,3
2010-05,5
2010-06,4
2010-07,5
2010-08,5
2010-09,5
2010-10,4
2010-11,6
2010-12,7
2011-01,8
2011-02,8
2011-03,9
2011-04,9
2011-05,10
2011-06,11
2011-07,11
2011-08,13
2011-09,12
2011-10,13
2011-11,15
2011-12,18
2012-01,16
2012-02,25
2012-03,28
2012-04,42
2012-05,43
2012-06,36
2012-07,48
2012-08,50
2012-09,48
2012-10,45
2012-11,41
2012-12,43
2013-01,46
2013-02,51
2013-03,76
2013-04,68
2013-05,67
2013-06,61
2013-07,57
2013-08,57
2013-09,60
2013-10,57
2013-11,56
2013-12,51
2014-01,55
2014-02,60
2014-03,59
2014-04,64
2014-05,63
2014-06,56
2014-07,100
2014-08,67
2014-09,62
2014-10,65
2014-11,59
2014-12,53
2015-01,61
2015-02,66
2015-03,66
2015-04,58
2015-05,64
2015-06,76
2015-07,58
2015-08,55
2015-09,58
2015-10,58
2015-11,58
2015-12,50
2016-01,43
2016-02,46
2016-03,45
2016-04,42
2016-05,44
2016-06,45
2016-07,40
2016-08,36
2016-09,38
2016-10,40
2016-11,42
2016-12,40
2017-01,37
2017-02,38
2017-03,39
2017-04,38
2017-05,39
2017-06,38
2017-07,33
2017-08,35
2017-09,34
2017-10,35
2017-11,36
2017-12,29
2018-01,31
2018-02,31
2018-03,31
2018-04,33
2018-05,31
2018-06,30
2018-07,29
2018-08,27
2018-09,26
2018-10,25
2018-11,26
2018-12,23
2019-01,22
2019-02,24
2019-03,28
2019-04,27
2019-05,24
2019-06,25
2019-07,27
2019-08,24
2019-09,24
2019-10,24
2019-11,23
2019-12,20
2020-01,23
2020-02,26
2020-03,21
2020-04,22
2020-05,24
2020-06,24
2020-07,24
2020-08,25
2020-09,23
2020-10,22
2020-11,18
2020-12,16
2021-01,18
2021-02,19
2021-03,20
2021-04,25
2021-05,25
2021-06,19
2021-07,18
2021-08,17
2021-09,16
2021-10,16
2021-11,15
2021-12,15
